,Abstract,Class
10,"Underwater sensor networks (UWSNs) have recently been regarded as a promising method to monitor and explore underwater environments. Reliable and efficient data transmission to Sink is one of most important concerns of UWSNs. In this letter, we propose an energy-efficient probabilistic depth-based routing (EEPDBR) for UWSNs, which is improved from traditional depth-based routing (DBR) algorithm. The key idea of EEPDBR algorithm is to design an improved probabilistic DBR algorithm for reliable underwater data reporting to any surface sonobuoy, which takes node's depth, residual energy, and forwarding number within its 2-hop neighborhood into account. Extensive simulation results verify that the proposed EEPDBR method can achieve higher packet delivery ratio and lower average delivery time, while saving energy consumption effectively comparing to existing methods.",4
11,"Generally, routing techniques are essential for Wireless Sensor Networks (WSNs) to deliver data packets to their destinations (also known as sinks). For a practical application, sensors are deployed to monitor environmental changes and events. Most WSNs detect specific events in their specific environments. But, different WSNs may monitor different events with different sensors in the same area. For example, a smart-home WSN deploys thermal sensors/meters to measure indoor and outdoor temperatures, body-temperature sensors to detect thief intrusion, etc. Also, in the underlying house, there is a health WSN which utilizes physiological sensors to monitor patients' health condition. In other words, several WSNs of different purposes co-exist in the same geographical area. Currently, each WSN's data delivery is independent from others'. Basically, if all sensors in such a multi-WSNs environment can share their routing paths/nodes and relay event packets for other WSNs, the delivery efficiency can be enhanced since many more sensors can be found there for packet relay. Consequently, the transmission energy can be reduced since energy consumed for wireless transmission is proportional to d2 where d is the transmission distance between sender and receiver. Therefore, in this study, we propose an energy saving routing mechanism, named Energy-Efficient Cooperative Routing Scheme for Heterogeneous Wireless Sensor Networks (EERH for short), in which several WSNs deployed in the same geographical environment form a heterogeneous sensor network and sensors relay packets for its own WSN and also for other WSNs. Routing paths are dynamically established according to the transmission directions of event packets and the residual energy of the underlying sensors and their neighbors. In addition, the packets routed to the same direction by the same sensors are aggregated to save delivering energy. Moreover, the network parameters of the EERH, like propagation delay of an event packet and the transmission distance of a sensor, are adjustable so as to satisfy the practical environment needs. Simulation results show that the EERH efficiently extends the lifetime of a heterogeneous WSN.",4
12,"The clustering technique is a key routing method for large-scale wireless sensor networks (WSNs), which strongly extends the network's lifetime and scalability. The fundamental protocol of this technique, which is called low energy adaptive clustering hierarchy (LEACH), is proved as a solution that offers good energy efficiency and consequently expands the network lifetime. As the energy efficiency is deteriorated with the network size, LEACH improvements are becoming so substantial to support the scalability in the large-scale WSNs. The authors propose a new dynamic multi-hop clustering protocol. It exploits both the mobility and the multi-hop communication to prolong the lifetime of the mobile WSN. The proposed protocol, called dynamic multi-hop LEACH (DMH-LEACH), combines the dynamic clustering, multi-hop transmissions, and node mobility to improve the energy efficiency of LEACH. They also study the effect of the traffic and energy heterogeneity on the proposed protocol. Finally, they simulate DMH-LEACH protocol for both homogeneous and heterogeneous scenarios. The simulation results show that the proposed protocol allows to better balance the energy consumption for all sensor nodes and considerably extends the network's lifetime.",4
13,"As an important technology for Internet of Things, wireless sensor networks have been receiving widespread attention in recent years. Traditional wireless sensor network deploys resources for specific applications, which causes the problem of low resource utilization. Additionally, the energy consumption brought by the diversification of application requirements has also raised the burden on sensor nodes. Therefore, based on the introduction of wireless energy transfer technology, this paper proposes a resource allocation strategy for virtualized wireless sensor networks. Specifically, physical resources are pooled by the the wireless sensor network service provider. Then, virtual sensor networks are built through network slicing technology to provide one-to-one services based on the application requirements and the current status of the physical sensor nodes. Furthermore, in order to minimize the overall network energy consumption, a system-friendly resource allocation strategy is proposed to optimize the jointly configurations of sensing frequency, time slot and transmission power. Simulation results validate that the proposed strategy can not only effectively save the network energy, but also meet the diverse personalized needs of applications.",4
14,"Wireless sensor network (WSN) is a developed wireless network consisting of some connected sensor nodes. The WSN is employed in many fields such as military, industrial, and environmental monitoring applications. These nodes are equipped with sensors for sensing the environmental variables such as temperature, humidity, wind speed, and so on. In most applications, WSN is positioned in remote places and harsh environments, where they are most probably exposed to faults. Hence, faulty sensor identification is one of the most fundamental tasks to be considered in WSN. This study suggests a hybrid methodology based on mutual information change (MIC) and wavelet transform (WT) for faulty sensor identification. The MIC method is suggested to study correlation among sensors, while the WT technique is proposed for self-sensor detection. WT is suitable for analysing non-stationary signals into approximation and detail coefficients. The suggested algorithm performance is investigated by applying a real case study at an arbitrary location close to Cairo, Egypt. The results of each method are compared using the true positive rate (TPR), false negative rate, and accuracy measures. Obtained results have shown that combining MIC and WT techniques can achieve a higher TPR and accuracy reach 100% in most fault types.",4
15,"Energy shortage obstructs the applications of the wireless rechargeable sensor network (WRSN). With the development of the wireless energy transfer technology, the mobile wireless charging vehicle (WCV) becomes a promising solution to solve that problem. However, the importance of different sensor nodes in the data transmission and uneven energy consumptions are often ignored. In this paper, the charging strategy of the WCV is studied in the WRSN considering these two phenomena. According to the importance of the sensor node, which is associated with the distance to the base station, we divide sensor nodes into two types: sensor nodes in ring 0 and sensor nodes in outer ring. We propose a novel charging model, the WCV adopts different charging strategies for different sensor nodes. To make the charging more efficient, the WCV charges sensor nodes one by one in ring 0 first, and then charges multiple sensor nodes simultaneously in outer ring. To estimate the lifetime of the network, a new metric named as the normalized dead time is proposed. Maximizing the lifetime of the network is modeled as minimizing the sum normalized dead time, and an efficient algorithm is proposed to minimize the sum normalized dead time through searching the optimal charging timeslots sequences. Then, through reassigning charging timeslots of sensor nodes, the proposed minimum travel cost algorithm minimizes the travel distance of the WCV and guarantee the lifetime of the network. We further deploy a cluster head node which has larger battery capacity in each cluster and can charge other sensor nodes within a limited distance. An algorithm is proposed to pre-distribute energy of the cluster head node. At last, the performance of proposed algorithms is verified by MATLAB. The results indicate that the performance of the WRSN can be improved by our proposed algorithms.",4
16,"In this letter, we investigate the performance of wireless powered cognitive radio sensor networks (CRSNs) in the presence of hardware impairments (HIs). Wireless powered CRSN can be a potential solution to address spectrum scarcity and power shortage in the wireless sensor networks. Herein, the spectrum sharing is exploited to compensate for the spectrum scarcity, whereas the radio frequency energy harvesting technique is utilized to prolong the lifetime. Specifically, we consider a CRSN scenario with two primary nodes and a pair of sensor nodes (SNs). The SNs are assumed to be low-cost devices in view of the Internet of Things infrastructure. Consequently, they are more prone to suffer from different HIs. For evaluating the system performance, we obtain accurate expressions of the outage probability and the system throughput over Nakagami-m fading in the presence of transceiver HIs.",4
17,"A cross-layer design methodology that jointly optimizes the link-layer network flow rate and the physical layer transmission power wherein rate is developed for energy-constrained underwater wireless sensor networks. The objective of the design is to maximize the lifetime of the network operation for a given network topology and a bound of the total transmission time of all links. Initially, each node is set to transmit at the most energy-efficient transmission rate, which is derived using an underwater acoustic channel model. A constrained least square problem then is formulated which yields an analytical solution of the optimal network flow at each link that maximizes the network lifetime. If the timing constraint is not met, a new iteration will begin with the restriction on per-node energy consumption incrementally relaxed. Usually, the algorithm converges within a couple of iterations. Two design examples, a linear configured network, and a rhombus configured network are used to demonstrate the design procedures. Extensive simulations have been performed and superior performance (longer network lifetime) of this proposed design has been observed.",4
18,"With the emergence of the Internet of Things (IoT) and Industry 4.0 concepts, industrial applications are going through a tremendous change that is imposing increasingly diverse and demanding network dynamics and requirements with a wider and more fine-grained scale. Therefore, there is a growing need for more flexible and reconfigurable industrial networking solutions complemented with powerful monitoring and management functionalities. In this sense, this paper presents a novel efficient network monitoring and telemetry solution for Industrial Wireless Sensor Networks mainly focusing on the 6TiSCH Network stack, a complete protocol stack for ultra-reliable ultra-low-power wireless mesh networks. The proposed monitoring solution creates a flexible and powerful in-band network telemetry design with minimized resource consumption and communication overhead while supporting a wide range of monitoring operations and strategies for dealing with various network scenarios and use cases. Besides, the technical capabilities and characteristics of the proposed solution are evaluated via a real-life implementation, practical and theoretical analysis. These experiments demonstrate that in-band telemetry can provide ultra-efficient network monitoring operations without any effect on the network behavior and performance, validating its suitability for Industrial Wireless Sensor Networks.",4
19,"Wireless sensor networks (WSNs) are a special type of infrastructure-less network made up of a large number of tiny sensor nodes with limited energy, processing, and communication capabilities. WSNs have applications in health care, home security, environment monitoring, etc., with research challenges in energy efficiency, network lifetime, and network reliability. One of the major research challenges lies in providing application-specific coverage of the region of interest and reliable transmission of the gathered data to the mobile sink in the presence of multi-state sensor nodes. To quantify such a capability, this paper proposes a quantitative measure, called Area Coverage Reliability (ACR) for WSNs. ACR brings together WSN reliability, area coverage, energy efficiency, mobility of data collector or sink, random duty cycle of nodes, and multi-state nature of sensor nodes under a common umbrella. This paper proposes a Monte Carlo simulation approach that utilizes an energy matrix to evaluate the effect of energy-depleted nodes and energy-oriented data transfer capability on ACR. The energy matrix reflects the residual energy of sensors, the energy required to transmit data to the neighboring nodes, connectivity, and the multi-state nature of the sensors. The proposed approach is illustrated through a series of random examples. The ACR information allows the network designers to achieve a better understanding of the impact of random duty cycle, node energy, node/link reliability, and randomly deployed sensors on reliability.",4
20,"Wireless sensor devices are usually powered with limited non-rechargeable batteries. This energy can easily be depleted when no wise consumption procedures are used, leaving the sensor non-functional. As most of the energy is consumed during the transmission of data, developing efficient data manipulation and transmission approaches is crucial and still an open problem that attracts the attention of many research groups. In this article a directed acyclic graph (DAG) based dissemination approach, where clustering and network coding techniques are applied, is proposed. As a main goal, this work aims at improving the network reliability (ensure recovery of lost packets), while minimizing energy consumption and balancing load at gateways. The proposed approach is compared to state-of-art approaches in terms of network reliability and energy saving trade-off. Experimental results demonstrate the strong performance of the proposed work.",4
21,"A novel zero-power wireless sensor architecture is proposed and demonstrated in this paper. The proposed wireless sensor, which is a passive sensor, combines UHF RFID and a capacitive sensor to enable reading of physical and chemical parameters wirelessly, without compromising much on the read-range, and complexity of conventional RFID tags. The sensor alters the phase of backscattered RFID signal, which is detected at the receiver using a non-coherent IQ demodulator. Due to the universal nature of this architecture, any type of sensor, such as temperature, humidity, water level sensor, can be realized. For the sake of simplicity, a varactor diode was initially used to get a thorough understanding of the system. Following that, a flood sensor was used to evaluate the performance of zero-power wireless sensor in a real-world application.",4
22,"Rapidly evolving, the Internet of Things imposes new challenges for the developers of wireless networks. Various critical infrastructure monitoring scenarios require fast and reliable alert delivery. In such systems, multiple sensors are entrusted to react to the same emergency event. Thus, it is enough to receive an alert message from any of these sensors. However, such a message shall be reliably delivered as soon as possible. The recently published Wi-Fi HaLow standard defines the Restricted Access Window (RAW) mechanism that coordinates transmissions of numerous devices. Thus, it can improve reliability and reduce delays. The paper is the first to study the usage of RAW in a scenario of emergency alerts, where the alert shall be received from at least one sensor. The paper presents an easy-to-calculate mathematical model of alert delivery with RAW. The model allows dynamic online reconfiguration of RAW parameters to select such parameters that minimize consumed channel timeshare while providing satisfactory reliability and delivery delay for an alert. Intensive performance evaluation shows that the RAW is fruitful for mission-critical data delivery in the considered scenario.",4
23,"In this article, we consider a software-defined wireless sensor network (WSN) architecture which conserves energy by applying asynchronous duty cycling. In asynchronous sensor networks, the overhearing adversely impacts the energy consumption of the nodes. Using a mathematical model, we compute the maximum lifetime of the network and accordingly propose a multichannel operation and transmit power control to reduce the effect of overhearing in asynchronous networks. Our comprehensive test results confirm that for the network with load-aware nonuniform sensor node deployment, the network lifetime is much higher compared to a uniform deployment. We also show that the use of data aggregation software-defined WSNs (SDWSNs) can improve the network lifetime as compared to the data gathering networks.",4
24,"Barrier coverage is an important research issue in wireless sensor networks (WSNs). Barrier gaps may exist due to deployment randomness or battery depletion. It is critical to address the problem with an energy-efficient method due to the high cost of mobile sensors. Besides, it is a challenge to introduce the realistic probabilistic sensing model of sensors while mending barrier gaps. In this paper, we study how to efficiently use mobile sensors with a probabilistic sensing model to improve barrier coverage. Firstly, we define safe cell and design algorithms to find safe cells and barrier gaps. Secondly, we study how to improve the barrier coverage with minimum number of mobile sensors. Thirdly, we divide minimum movement of mobile sensors problem into the simple case and general case, and the general case is resorted to Kuhn-Munkres (KM) algorithm. Simulation results are conducted to demonstrate the effectiveness and advantage of our proposed algorithms.",4
25,"Owing to the limited resources of sensor nodes, we propose an efficient hybrid routing scheme using a dynamic cluster-based static routing protocol (DCBSRP), leveraging the ad hoc on-demand distance vector (AODV) routing protocol and low-energy adaptive clustering hierarchy (LEACH) protocol. In the proposed scheme, the cluster head (CH) nodes are formed dynamically for a fixed interval, whereas static routing is applied in the designated clusters by utilizing the AODV routing protocol. The static routing condition of the proposed scheme limits all connected nodes of the cluster for a defined interval of time (T) to share their collected information through a specific CH node. Once the time (T) interval is completed, all ordinary nodes connected with the specific CH are released and they are free to advertise their CH candidateship within the network. Likewise, the node receiving the maximum number of route replies (RREPs) is selected as the next CH node in the vicinity of deployed sensor nodes. However, with the DCBSRP protocol, the recently selected CH node does not advertise its candidateship for five consecutive cycles and acts as an ordinary node. The simulation result shows significant improvement in the lifetime and participation of ordinary nodes in the network until the end-stage of the network. In the proposed scheme, the participation of ordinary nodes in the network is 95.9 %, which not only balances load between participating nodes but also improves the network lifetime in the presence of field-proven schemes. Moreover, the simulation results show an out-performance of rival schemes in terms of communication cost, end to end delay, throughput, packet lost ratio, and energy consumption.",4
26,"Sensing coverage and network connectivity are two of the most fundamental issues to ensure that there are effective environmental sensing and robust data communication in a wireless sensor network (WSN) application. Random positioning of nodes in a WSN may result in random connectivity, which can cause a large variety of key parameters within the WSN. For example, data latency and battery lifetime can lead to the isolation of nodes, which causes a disconnection between nodes within the network. These problems can be avoided by using mobile data sinks, which travel between nodes that have connection problems. This research aims to design, test, and optimise a data collection system that addresses the isolated node problem, as well as to improve the connectivity between sensor nodes and base station, and to reduce the energy consumption simultaneously. In addition, this system will help to solve several problems such as the imbalance of delay and hotspot problems. The effort in this study is focused on the feasibility of using the proposed methodology in different applications. More ongoing experimental work will aim to provide a detailed study for advanced applications, e.g. transport systems for civil purposes.",4
27,"In recent years, wireless vision sensor network (WVSN) is being used to retrieve video content from different image sensors which are connected to different devices wirelessly. This information is used to do video analysis which can help to automate different tasks such as video surveillance. For such systems, power consumption during processing and communicating information has been a challenge because of limited energy sources at the node. To deal with the energy consumption problem, in this paper WVSN is proposed with its algorithm and hardware implementation for a smart home application. The computation tasks have been divided between the sensor node and the central server. While taking care of privacy issues during the transmission of data, a low complexity system has been developed for sensor nodes. For video analysis, foreground segmentation, object labeling, and object tracking have been performed. An efficient binary data compression technique has been proposed to compress the information during the labeling process. The proposed system has a high recognition rate for gesture recognition and human tracking. The system can achieve eight frames per second during processing information on Raspberry Pi board. This system can be extended further to include other smart home applications.",4
28,"Wireless sensor networks comprising nodes equipped with cameras have become common in many scenarios, providing valuable visual data for some relevant services such as localization, tracking, patterns identification and emergencies detection. In this context, algorithms and optimization approaches have been designed to perform different types of quality assessment or performance enhancement tasks, addressing challenging issues such as networking, compression, availability, reliability, security, energy efficiency and virtually any subject related to the operational challenges of those networks. However, the dynamics of coverage failures have not been properly modelled in visual sensor networks, resulting in unrealistic perceptions when optimizing or assessing quality in most visual sensing scenarios. Particularly, the Field of View of visual sensors will be affected by occlusion caused by obstacles in the monitored field, which may turn such sensors inadequate for the expected monitoring services of the considered network. Therefore, this article proposes a mathematical model to assess occlusion caused by mobile obstacles such as vehicles on a road or forklifts in an industrial plant, aiming at the selection of the visual sensor nodes that will not have their coverage significantly restricted by those obstacles. Doing so, the proposed model can be exploited by any optimization or quality assessment approach in wireless visual sensor networks, providing a preprocessing method when selecting visual nodes.",4
29,"A major concern in wireless sensor network (WSN) is how to maximize the network lifetime while maintaining the coverage requirement. Since the energy of sensor node is limited, the network lifetime is extremely restricted. Recent studies have demonstrated that energy harvesting technology can potentially alleviate the energy limitation. This paper focuses on how to increase the network lifetime while satisfying the full target coverage in a novel Hybrid Energy-harvesting Wireless Sensor Network (HEWSN) which comprises both static non-rechargeable sensor nodes and mobile rechargeable ones, and then proposes a Two-phase Lifetime-enhancing Method (TLM). In the first phase, we employ a Multi-Objective Particle Swarm Optimization(MOPSO) algorithm based on adaptive grid for healing coverage hole, which relocates useful mobile rechargeable sensor nodes at optimal locations to meet the full target coverage. In the second phase, we present a Modified Binary multi-objective evolutionary algorithm based on Non-dominated Sorting and Bidirectional Local Search (MBNSBLS) to schedule sensor nodes into non-disjoint subsets working in turn, which helps to extend the network lifetime. Simulations are conducted and the results show that TLM has better performance than other approaches.",4
30,"Indoor person tracking attracts a considerable effort from the research community as it allows to perform Human Behaviour Analysis tasks, where wireless technologies play a key role. However, complex signal propagation effects in indoor environments are the main issue to face when performing accurate indoor positioning and tracking. The advances in machine and deep learning models, applied to improve the estimation of the position captured by wireless sensors, can provide a more precise tracking and positioning, an open field for research which has been used to improve the prior art. In this paper, a novel framework for Adaptive Indoor Tracking using Recurrent models, in combination with Generative networks for new data generation (recovery), is presented (RecTrack-GAN). Firstly, a Received Signal Strength Indicator RSSI Fingerprinting database is collected. Secondly, a Recurrent Neural Network (RNN) takes as input the RSSI parameters collected by a Wireless Sensor Network (WSN) and estimates of both orientation and velocity using devices equipped with Inertial Measurement Unit (IMU) sensors, and learns to model the human movement based on these parameters. Thirdly, a Conditional Generative Adversarial Network (CGAN) is used to perform data recovering when no measurements are received and to update the Fingerprinting database taking into account the day time. The experiments performed showed that RecTrack-GAN improves accuracy performance and reduces error deviation for tracking up to 15% compared to the prior art in the literature.",4
31,"Detection of vibration by wireless sensor networks (WSNs) is an effective approach for monitoring mechanical equipment. Particularly for large-scale mechanical equipment, multi-hop topology is necessary. However, link blocking by an unbalanced topology can significantly reduce the communication quality and the network lifetime. Motivated by the aforementioned problems, a balanced network topology control method based on the fuzzy analytic hierarchy process (FAHP) is proposed. Four criteria, including residual energy, node degree, node depth, and transmission power, are considered to construct the network topology. A fuzzy judgment matrix is constructed to calculate the weight vector composed of the weight of each criterion. For each node, the optimal associating decision factors are calculated using the weight vector to construct the network topology. The experiments demonstrate that the proposed method can ensure robust link quality, improve data throughput effectively, and reduce power consumption by at least 400 mJ during each monitoring cycle, which can extend the network lifetime effectively.",4
32,"In the past years, the energy constraint problem is known as a design issue of Wireless Sensor Networks (WSNs) due to equipping the sensor nodes with limited power supplies. During the last few years, Wireless Rechargeable Sensor Networks (WRSNs) have gained researchers attention. In a WRSN, the sensor nodes are equipped with RF circuits, which enables them to receive energy from Wireless Mobile Chargers (WMC). However, most of the existing wireless charging algorithms consider the unlimited power budget for WMCs, which is the opposite of feasibility of a real network environment. Likewise, most of the previous works fail to take full advantage of WMC as it starts recharging the nodes when their energy level reaches a threshold, which leads to increasing the inactive time of WMC. Moreover, although previous works employed WMCs, the network lifetime is limited. However, optimal division of the energy of WMC among nodes can guarantee the perpetual network operation. Therefore, proposing an efficient method that jointly solves these challenges is required. In this paper, a new Fair Energy Division Scheme (FEDS) is presented, which undertakes the permanent network operation by optimizing the energy division at the beginning of each cycle. Simulation results exhibit that FEDS achieves perpetual network lifetime. In addition, the proposed scheme improves energy efficiency, (25%) compared to Uneven Cluster-based Mobile Charging (UCMC) and (75%) compared to Nearest-Job-Next Preemption NJNP; travelling time of WMC, (50%) compared to UCMC and (75%) compared to NJNP. In conclusion, the proposed protocol significantly improves network.",4
33,"This article presents an adaptive multi-sensing (MS) framework for a network of densely deployed solar energy harvesting wireless nodes. Each node is mounted with heterogeneous sensors to sense multiple cross-correlated slowly-varying parameters/signals. Inherent spatio-temporal correlations of the observed parameters are exploited to adaptively activate a subset of sensors of a few nodes and turn-OFF the remaining ones. To do so, a multi-objective optimization problem that jointly optimizes sensing quality and network energy efficiency is solved for each monitoring parameter. To increase energy efficiency, network and node-level collaborations based multi-sensing strategies are proposed. The former one utilizes spatial proximity (SP) of nodes with active sensors (obtained from the MS) to further reduce the active sensors sets, while the latter one exploits cross-correlation (CC) among the observed parameters at each node to do so. A retraining logic is developed to prevent deterioration of sensing quality in MS-SP. For jointly estimating all the parameters across the field nodes using under-sampled measurements obtained from MS-CC based active sensors, a multi-sensor data fusion technique is presented. For this ill-posed estimation scenario, double sparsity due to spatial and cross-correlation among measurements is used to derive principal component analysis-based Kronecker sparsifying basis, and sparse Bayesian learning framework is then used for joint sparse estimation. Extensive simulation studies using synthetic (real) data illustrate that, the proposed MS-SP and MS-CC strategies are respectively 48.2 (52.09)% and 50.30 (8.13)% more energy-efficient compared to respective state-of-the-art techniques while offering stable sensing quality. Further, heat-maps of estimated field signals corresponding to synthetically generated and parsimoniously sensed multi-source parameters are also provided which may aid in source localization Internet-of-Things applications.",4
